Age,Real Stock Balance,Real Priv Pension Balance,State Pension (Gross),Priv Payout (Gross),Stock Withdrawal (Gross),Partial Salary (Gross),Total Taxes & GKV,State Tax,Priv Tax,Salary Tax,Stock Tax,Vorabpauschale,GKV Cost,Rentenpunkte
30,10000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
31,16392.156862745098,7710.3582428235295,0.0,0.0,0.0,0.0,12338.732242297501,0.0,0.0,12338.732242297501,0.0,0.0,0.0,11.155090097027568
32,23034.98654363706,10520.808421226153,0.0,0.0,0.0,0.0,12338.732242297501,0.0,0.0,12338.732242297501,0.0,0.0,0.0,12.310180194055135
33,29938.319349269885,13435.0468715112,0.0,0.0,0.0,0.0,12338.732242297501,0.0,0.0,12338.732242297501,0.0,0.0,0.0,13.465270291082703
34,37112.371088456945,16456.906433507364,0.0,0.0,0.0,0.0,12338.358481628398,0.0,0.0,12338.358481628398,0.0,0.0,0.0,14.62036038811027
35,44567.75818996506,19590.3614915636,0.0,0.0,0.0,0.0,12338.732242297501,0.0,0.0,12338.732242297501,0.0,0.0,0.0,15.775450485137839
36,52315.51341310095,22839.53320170498,0.0,0.0,0.0,0.0,12338.732242297501,0.0,0.0,12338.732242297501,0.0,0.0,0.0,16.930540582165406
37,60367.10217439902,26208.694911824427,0.0,0.0,0.0,0.0,12338.732242297501,0.0,0.0,12338.732242297501,0.0,0.0,0.0,18.085630679192974
38,68714.7885923725,29702.277782038735,0.0,0.0,0.0,0.0,12358.383164496545,0.0,0.0,12338.732242297501,0.0,19.650922199043922,0.0,19.24072077622054
39,77351.57560158198,33324.87661260132,0.0,0.0,0.0,0.0,12396.269064276656,0.0,0.0,12338.358481628398,0.0,57.91058264825864,0.0,20.39581087324811
40,86287.71486567933,37081.255887036095,0.0,0.0,0.0,0.0,12435.988099830824,0.0,0.0,12338.732242297501,0.0,97.25585753332231,0.0,21.550900970275677
41,95533.81681187612,40976.35603844088,0.0,0.0,0.0,0.0,12476.462251617531,0.0,0.0,12338.732242297501,0.0,137.7300093200306,0.0,22.705991067303245
